team_id,team_url,team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,competition_id,season_id,id
squads,/en/squads/8d6fd021/Alaves-Stats,Alavés,29,45.3,38.0,19070,1876,5802,8634,4809,691,19059,478,185,38.7,245,51.3,9128,45578,22946,449,346,90,598,307,10419,1148,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
2b390eca,/en/squads/2b390eca/2024-2025/Athletic-Club-Stats,Athletic Club,31,48.4,38.0,21761,1884,6255,10334,5382,760,21755,791,328,41.5,388,49.1,11368,61421,32773,682,444,188,597,401,13522,1561,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
db3b9613,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats,Atlético Madrid,24,52.6,38.0,25387,2335,8013,11493,6074,860,25380,639,276,43.2,305,47.7,15829,77524,41305,760,579,167,541,275,17707,1553,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
206d90db,/en/squads/206d90db/2024-2025/Barcelona-Stats,Barcelona,28,68.3,38.0,29805,1857,6516,14966,8535,1208,29797,909,455,50.1,375,41.3,18077,92092,49435,860,667,238,579,316,22187,2201,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/fc536746/Real-Betis-Stats,Betis,36,52.4,38.0,23872,2253,7466,10545,6088,921,23862,722,312,43.2,344,47.6,13910,69976,36269,679,532,228,676,378,15627,1468,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/f25da7fb/Celta-Vigo-Stats,Celta Vigo,30,53.6,38.0,25123,2232,7618,12133,5574,831,25114,628,254,40.4,312,49.7,15010,75647,39392,709,500,218,558,296,17691,1649,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/a8661628/Espanyol-Stats,Espanyol,27,39.8,38.0,18406,2655,7408,7625,3582,548,18401,546,221,40.5,266,48.7,9361,52875,28280,497,359,109,561,241,10490,991,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/7848bd64/Getafe-Stats,Getafe,30,41.8,38.0,17605,1770,5183,7998,4646,675,17600,631,265,42.0,312,49.4,7825,40262,19034,368,311,105,719,357,8611,966,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/9024a00a/Girona-Stats,Girona,30,56.3,38.0,25088,2516,7829,11533,5912,795,25083,634,291,45.9,276,43.5,15275,86324,44108,765,553,180,522,312,18040,1684,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/0049d422/Las-Palmas-Stats,Las Palmas,34,50.7,38.0,22497,2561,7809,10353,4511,669,22493,571,239,41.9,288,50.4,11365,56979,28603,499,346,113,547,275,14222,1197,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/7c6f2c78/Leganes-Stats,Leganés,26,42.6,38.0,19312,2448,7029,8720,3764,482,19305,627,302,48.2,263,41.9,9782,47776,24033,417,364,105,575,314,11128,1023,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/2aa12281/Mallorca-Stats,Mallorca,28,46.8,38.0,20649,2598,7168,9299,4391,635,20644,583,255,43.7,260,44.6,10945,56532,26760,479,409,85,567,377,12481,1169,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/03c57e2b/Osasuna-Stats,Osasuna,25,46.1,38.0,20036,2263,6318,8904,5007,737,20027,592,260,43.9,279,47.1,10439,54365,27022,567,424,134,532,293,12053,1204,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/98e8af82/Rayo-Vallecano-Stats,Rayo Vallecano,26,51.7,38.0,22372,2557,7799,9339,5455,711,22371,647,286,44.2,304,47.0,12068,58402,29156,589,431,143,630,327,13833,1346,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
53a2f082,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats,Real Madrid,30,60.4,38.0,28252,2392,7662,12794,8048,1181,28238,878,412,46.9,384,43.7,17893,93355,50356,983,696,364,528,290,21223,1953,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/e31d1cd9/Real-Sociedad-Stats,Real Sociedad,31,53.8,38.0,23027,2275,7208,10770,5243,747,23023,659,295,44.8,307,46.6,12533,67115,34084,645,417,163,603,297,14716,1325,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/ad2be733/Sevilla-Stats,Sevilla,35,50.5,38.0,22465,2404,8057,9800,4813,669,22462,720,339,47.1,320,44.4,11147,58366,29786,594,397,161,624,331,14288,1186,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/dcc91a7b/Valencia-Stats,Valencia,32,48.4,38.0,21876,2290,7206,9840,5033,653,21871,625,236,37.8,321,51.4,11347,59375,30877,572,414,122,535,340,13802,1328,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
squads,/en/squads/17859612/Valladolid-Stats,Valladolid,38,42.8,38.0,19507,2681,8158,8153,3393,523,19502,624,289,46.3,266,42.6,9680,54312,27524,476,316,120,513,268,11933,976,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
2a8183b3,/en/squads/2a8183b3/2024-2025/Villarreal-Stats,Villarreal,31,47.6,38.0,22112,2612,7831,9120,5352,983,22105,627,279,44.5,278,44.3,12034,63384,34540,693,503,202,560,289,14383,1510,12,2024-2025,48be23ca-c481-4b1d-a3dc-8d9ed215e31c
