team_id,team_url,team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2017-2018/Alaves-Stats,Alavés,2,38.0,50,7,2,7,2,49.4,0.25,+1.4,+0.04,330,786,42.0,708,103,65.5,48.6,360,89.4,56.7,657,17,2.6,19,0.50,9.0,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
2b390eca,/en/squads/2b390eca/2017-2018/Athletic-Club-Stats,Athletic Club,2,38.0,49,3,3,5,3,52.0,0.28,+6.0,+0.16,407,840,48.5,1066,140,57.6,43.6,271,83.4,58.8,525,29,5.5,31,0.82,14.2,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
db3b9613,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats,Atlético Madrid,2,38.0,22,1,1,2,1,33.2,0.23,+12.2,+0.32,194,581,33.4,635,109,55.0,42.4,289,80.3,54.5,550,26,4.7,14,0.37,11.9,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
206d90db,/en/squads/206d90db/2017-2018/Barcelona-Stats,Barcelona,2,38.0,29,2,0,1,0,37.0,0.26,+8.0,+0.21,130,310,41.9,1061,197,17.6,27.9,272,45.2,41.3,411,15,3.6,41,1.08,7.7,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
fc536746,/en/squads/fc536746/2017-2018/Real-Betis-Stats,Betis,3,38.0,61,3,0,7,4,48.1,0.29,-8.9,-0.24,199,577,34.5,1239,163,32.4,34.5,312,56.4,43.3,584,25,4.3,29,0.76,10.4,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
f25da7fb,/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats,Celta Vigo,3,38.0,60,4,0,8,1,49.5,0.29,-9.5,-0.25,247,700,35.3,1154,124,43.4,36.3,280,71.1,53.1,539,14,2.6,38,1.00,14.1,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
bea5c710,/en/squads/bea5c710/2017-2018/Eibar-Stats,Eibar,3,38.0,50,4,2,3,3,47.8,0.34,+0.8,+0.02,359,957,37.5,992,96,73.5,52.4,239,95.4,69.5,379,23,6.1,100,2.63,21.4,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
a8661628,/en/squads/a8661628/2017-2018/Espanyol-Stats,Espanyol,2,38.0,42,4,1,5,2,47.2,0.26,+7.2,+0.19,237,673,35.2,756,172,52.1,39.3,329,84.8,57.2,568,31,5.5,24,0.63,11.3,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
7848bd64,/en/squads/7848bd64/2017-2018/Getafe-Stats,Getafe,2,38.0,33,2,0,3,0,42.3,0.31,+9.3,+0.24,292,925,31.6,813,80,74.2,52.5,332,97.0,64.3,549,25,4.6,37,0.97,9.9,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
9024a00a,/en/squads/9024a00a/2017-2018/Girona-Stats,Girona,2,38.0,59,4,3,2,3,57.8,0.32,+1.8,+0.05,289,797,36.3,828,133,64.4,43.7,296,89.2,60.2,488,14,2.9,43,1.13,15.3,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
2a60ed82,/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats,La Coruña,5,38.0,76,4,4,11,3,62.3,0.33,-10.7,-0.28,236,599,39.4,668,148,53.6,39.4,330,73.0,53.4,600,30,5.0,13,0.34,11.0,12,2017-2018,602c34dd-c553-4925-84c5-09bfe814d439
