team_id,team_url,team,players_used_away,minutes_90s_away,goals_away,shots_away,shots_on_target_away,shots_on_target_pct_away,shots_per90_away,shots_on_target_per90_away,goals_per_shot_away,goals_per_shot_on_target_away,average_shot_distance_away,shots_free_kicks_away,pens_made_away,pens_att_away,xg_away,npxg_away,npxg_per_shot_away,xg_net_away,npxg_net_away,competition_id,season_id,id
squads,/en/squads/69236f98/Angers-Stats,vs Angers,30,34.0,53,478,186,38.9,14.06,5.47,0.10,0.26,16.9,9,4,5,57.8,53.9,0.12,-4.8,-4.9,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/5ae09109/Auxerre-Stats,vs Auxerre,29,34.0,48,445,165,37.1,13.09,4.85,0.09,0.25,16.5,17,6,8,58.6,52.3,0.12,-10.6,-10.3,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/fb08dbb3/Brest-Stats,vs Brest,30,34.0,57,404,132,32.7,11.88,3.88,0.12,0.37,15.8,8,8,10,57.4,50.0,0.13,-0.4,-1.0,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/5c2737db/Le-Havre-Stats,vs Le Havre,31,34.0,70,482,169,35.1,14.18,4.97,0.13,0.38,16.4,8,5,6,62.8,58.5,0.13,+7.2,+6.5,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/fd4e0f7d/Lens-Stats,vs Lens,33,34.0,39,369,133,36.0,10.85,3.91,0.08,0.23,17.2,12,8,9,45.3,38.3,0.11,-6.3,-7.3,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/cb188c0c/Lille-Stats,vs Lille,27,34.0,35,333,122,36.6,9.79,3.59,0.09,0.25,16.3,10,4,4,42.5,39.4,0.12,-7.5,-8.4,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/d53c0b06/Lyon-Stats,vs Lyon,31,34.0,46,447,163,36.5,13.15,4.79,0.10,0.26,18.1,17,3,3,45.7,43.3,0.10,+0.3,-0.3,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
5725cc7b,/en/squads/5725cc7b/2024-2025/Marseille-Stats,vs Marseille,32,34.0,45,320,129,40.3,9.41,3.79,0.13,0.33,17.0,11,3,6,45.2,40.9,0.13,-0.2,+1.1,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
fd6114db,/en/squads/fd6114db/2024-2025/Monaco-Stats,vs Monaco,28,34.0,41,333,125,37.5,9.79,3.68,0.11,0.30,18.2,5,3,3,34.8,32.7,0.10,+6.2,+5.3,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/281b0e73/Montpellier-Stats,vs Montpellier,35,34.0,76,523,185,35.4,15.38,5.44,0.13,0.37,16.3,15,8,9,63.3,56.1,0.11,+12.7,+11.9,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/d7a486cd/Nantes-Stats,vs Nantes,30,34.0,49,419,141,33.7,12.32,4.15,0.10,0.30,16.2,8,7,8,55.5,49.3,0.12,-6.5,-7.3,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/132ebc33/Nice-Stats,vs Nice,31,34.0,40,456,158,34.6,13.41,4.65,0.08,0.24,17.9,13,2,3,40.2,38.0,0.09,-0.2,0.0,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
e2d8892c,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats,vs Paris S-G,28,34.0,34,309,100,32.4,9.09,2.94,0.10,0.31,17.6,6,3,3,31.2,29.0,0.10,+2.8,+2.0,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/7fdd64e0/Reims-Stats,vs Reims,34,34.0,47,496,174,35.1,14.59,5.12,0.09,0.25,16.7,9,4,5,57.4,53.5,0.11,-10.4,-10.5,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/b3072e00/Rennes-Stats,vs Rennes,35,34.0,48,370,132,35.7,10.88,3.88,0.12,0.34,16.6,8,3,6,46.0,41.4,0.11,+2.0,+3.6,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/d298ef2c/Saint-Etienne-Stats,vs Saint-Étienne,32,34.0,75,536,194,36.2,15.76,5.71,0.12,0.32,15.7,12,13,15,74.3,62.3,0.12,+0.7,-0.3,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/c0d3eab4/Strasbourg-Stats,vs Strasbourg,30,34.0,42,448,160,35.7,13.18,4.71,0.08,0.21,16.7,9,8,9,56.1,49.3,0.11,-14.1,-15.3,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
squads,/en/squads/3f8c4b5f/Toulouse-Stats,vs Toulouse,27,34.0,40,347,106,30.5,10.21,3.12,0.11,0.37,17.6,11,1,2,36.8,35.2,0.10,+3.2,+3.8,13,2024-2025,ebf0e2b1-6b3b-4b93-bd6a-57297b6f3da1
