team_id,team_url,team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,competition_id,season_id,id
7a54bb4f,/en/squads/7a54bb4f/2022-2023/Ajaccio-Stats,Ajaccio,3,38.0,74,9,1,11,2,57.6,0.31,-14.4,-0.38,238,633,37.6,784,90,53.3,40.7,261,82.4,51.6,507,26,5.1,60,1.58,11.5,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
69236f98,/en/squads/69236f98/2022-2023/Angers-Stats,Angers,2,38.0,81,9,1,9,4,67.8,0.30,-9.2,-0.24,127,416,30.5,733,194,38.1,33.6,256,53.5,42.1,500,38,7.6,27,0.71,11.8,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
5ae09109,/en/squads/5ae09109/2022-2023/Auxerre-Stats,Auxerre,3,38.0,63,4,0,3,1,57.8,0.30,-4.2,-0.11,268,698,38.4,978,145,48.4,46.4,289,77.9,53.5,599,17,2.8,26,0.68,12.9,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
fb08dbb3,/en/squads/fb08dbb3/2022-2023/Brest-Stats,Brest,2,38.0,54,7,1,11,2,55.1,0.26,+3.1,+0.08,206,490,42.0,824,166,38.7,45.7,300,57.0,43.3,531,32,6.0,25,0.66,3.5,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
d9676424,/en/squads/d9676424/2022-2023/Clermont-Foot-Stats,Clermont Foot,2,38.0,49,8,0,5,0,56.5,0.29,+7.5,+0.20,238,618,38.5,1196,177,41.4,33.6,308,39.9,35.9,478,35,7.3,30,0.79,21.3,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
fd4e0f7d,/en/squads/fd4e0f7d/2022-2023/Lens-Stats,Lens,2,38.0,29,3,0,6,1,34.0,0.24,+6.0,+0.16,183,449,40.8,1059,145,37.1,36.8,215,26.0,27.8,404,35,8.7,41,1.08,8.2,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
cb188c0c,/en/squads/cb188c0c/2022-2023/Lille-Stats,Lille,2,38.0,44,4,2,3,3,39.2,0.28,-1.8,-0.05,82,316,25.9,963,148,27.5,29.4,198,25.8,26.8,382,27,7.1,34,0.89,13.5,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
d2c87802,/en/squads/d2c87802/2022-2023/Lorient-Stats,Lorient,2,38.0,53,2,2,6,1,52.4,0.28,+0.4,+0.01,142,404,35.1,852,186,32.9,29.5,349,35.5,30.5,725,33,4.6,16,0.42,10.6,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
d53c0b06,/en/squads/d53c0b06/2022-2023/Lyon-Stats,Lyon,2,38.0,47,11,2,5,3,50.2,0.26,+6.2,+0.16,126,366,34.4,1010,164,29.8,28.7,236,27.5,30.2,436,25,5.7,35,0.92,17.2,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
5725cc7b,/en/squads/5725cc7b/2022-2023/Marseille-Stats,Marseille,2,38.0,40,5,0,7,3,37.7,0.24,+0.7,+0.02,123,371,33.2,1071,163,25.1,27.4,248,41.1,35.2,443,25,5.6,44,1.16,17.9,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
fd6114db,/en/squads/fd6114db/2022-2023/Monaco-Stats,Monaco,1,38.0,58,5,1,4,3,49.5,0.24,-5.5,-0.14,189,445,42.5,869,203,32.5,32.8,272,59.9,44.8,454,36,7.9,33,0.87,12.7,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
281b0e73,/en/squads/281b0e73/2022-2023/Montpellier-Stats,Montpellier,4,38.0,62,6,0,6,2,64.7,0.28,+4.7,+0.12,201,583,34.5,933,172,42.8,49.4,304,60.5,44.9,572,34,5.9,27,0.71,8.3,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
d7a486cd,/en/squads/d7a486cd/2022-2023/Nantes-Stats,Nantes,2,38.0,55,9,1,6,4,56.3,0.26,+5.3,+0.14,194,525,37.0,962,211,36.9,33.2,253,67.2,49.2,504,43,8.5,39,1.03,7.0,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
132ebc33,/en/squads/132ebc33/2022-2023/Nice-Stats,Nice,2,38.0,37,3,2,5,0,39.0,0.24,+2.0,+0.05,178,408,43.6,946,130,30.5,32.7,308,38.6,35.3,481,26,5.4,26,0.68,12.9,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
e2d8892c,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats,Paris S-G,2,38.0,40,2,1,3,1,43.3,0.26,+4.3,+0.11,54,148,36.5,687,167,15.7,19.0,252,15.9,21.8,437,33,7.6,27,0.71,,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
7fdd64e0,/en/squads/7fdd64e0/2022-2023/Reims-Stats,Reims,2,38.0,45,3,2,4,2,48.8,0.28,+5.8,+0.15,165,402,41.0,1007,216,31.2,31.8,263,33.5,33.7,533,48,9.0,39,1.03,12.7,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
b3072e00,/en/squads/b3072e00/2022-2023/Rennes-Stats,Rennes,2,38.0,39,3,0,7,1,38.9,0.28,+0.9,+0.02,186,487,38.2,1126,180,31.5,33.0,232,56.9,42.3,457,40,8.8,56,1.47,14.8,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
c0d3eab4,/en/squads/c0d3eab4/2022-2023/Strasbourg-Stats,Strasbourg,1,38.0,59,10,1,6,0,56.5,0.27,-2.5,-0.06,159,455,34.9,745,130,46.2,36.9,226,49.1,40.1,504,31,6.2,32,0.84,12.8,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
3f8c4b5f,/en/squads/3f8c4b5f/2022-2023/Toulouse-Stats,Toulouse,1,38.0,57,4,2,8,3,54.2,0.28,+0.2,+0.01,136,363,37.5,947,176,25.6,29.5,323,37.5,32.8,517,30,5.8,21,0.55,10.1,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
54195385,/en/squads/54195385/2022-2023/Troyes-Stats,Troyes,2,38.0,81,7,0,10,2,71.3,0.29,-7.7,-0.20,146,518,28.2,935,185,36.4,35.2,326,54.6,42.0,650,45,6.9,22,0.58,14.4,13,2022-2023,cb088c25-7221-40c1-98cd-5b4f3b406f90
