team_id,team_url,team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,competition_id,season_id,id
squads,/en/squads/69236f98/Angers-Stats,Angers,30,34.0,624,392,340,202,82,294,607,48.4,313,365,116,249,336,960,903,20,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/5ae09109/Auxerre-Stats,Auxerre,29,34.0,657,403,330,232,95,316,606,52.1,290,394,125,269,350,1007,944,17,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/fb08dbb3/Brest-Stats,Brest,30,34.0,656,426,291,255,110,308,583,52.8,275,363,105,258,316,972,869,14,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/5c2737db/Le-Havre-Stats,Le Havre,31,34.0,621,387,326,212,83,304,562,54.1,258,362,131,231,324,945,987,24,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/fd4e0f7d/Lens-Stats,Lens,33,34.0,606,365,264,233,109,299,579,51.6,280,387,101,286,321,927,705,19,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/cb188c0c/Lille-Stats,Lille,27,34.0,626,356,241,273,112,311,554,56.1,243,302,74,228,271,897,637,22,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/d53c0b06/Lyon-Stats,Lyon,31,34.0,576,340,257,230,89,310,595,52.1,285,346,113,233,282,858,695,25,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
5725cc7b,/en/squads/5725cc7b/2024-2025/Marseille-Stats,Marseille,32,34.0,552,358,244,229,79,274,472,58.1,198,272,70,202,280,832,523,31,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
fd6114db,/en/squads/fd6114db/2024-2025/Monaco-Stats,Monaco,28,34.0,670,429,281,287,102,339,624,54.3,285,350,70,280,357,1027,667,18,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/281b0e73/Montpellier-Stats,Montpellier,35,34.0,631,389,302,264,65,310,608,51.0,298,368,123,245,273,904,733,25,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/d7a486cd/Nantes-Stats,Nantes,30,34.0,645,376,338,224,83,321,565,56.8,244,402,116,286,283,928,1007,10,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/132ebc33/Nice-Stats,Nice,31,34.0,633,399,297,242,94,297,534,55.6,237,417,127,290,365,998,784,32,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
e2d8892c,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats,Paris S-G,28,34.0,619,386,242,266,111,325,607,53.5,282,360,103,257,265,884,493,19,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/7fdd64e0/Reims-Stats,Reims,34,34.0,558,359,313,174,71,285,551,51.7,266,392,145,247,289,847,958,20,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/b3072e00/Rennes-Stats,Rennes,35,34.0,596,363,282,234,80,296,510,58.0,214,350,96,254,337,933,739,14,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/d298ef2c/Saint-Etienne-Stats,Saint-Étienne,32,34.0,581,382,291,216,74,296,594,49.8,298,404,135,269,328,909,854,26,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/c0d3eab4/Strasbourg-Stats,Strasbourg,30,34.0,537,335,256,213,68,257,459,56.0,202,376,111,265,282,819,899,17,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
squads,/en/squads/3f8c4b5f/Toulouse-Stats,Toulouse,27,34.0,605,364,264,253,88,318,608,52.3,290,341,103,238,281,886,775,15,13,2024-2025,2ec5e187-9d80-400b-964f-900094de20eb
