team_id,team_url,team,players_used_away,minutes_90s_away,passes_completed_away,passes_away,passes_pct_away,passes_total_distance_away,passes_progressive_distance_away,passes_completed_short_away,passes_short_away,passes_pct_short_away,passes_completed_medium_away,passes_medium_away,passes_pct_medium_away,passes_completed_long_away,passes_long_away,passes_pct_long_away,assists_away,xg_assist_away,pass_xa_away,xg_assist_net_away,assisted_shots_away,passes_into_final_third_away,passes_into_penalty_area_away,crosses_into_penalty_area_away,progressive_passes_away,competition_id,season_id,id
69236f98,/en/squads/69236f98/2021-2022/Angers-Stats,vs Angers,30,38.0,16296,20089,81.1,293463,101206,7274,8222,88.5,6606,7616,86.7,1928,3137,61.5,36,37.6,36.0,-1.6,324,1243,252,81,1615,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
123f3efe,/en/squads/123f3efe/2021-2022/Bordeaux-Stats,vs Bordeaux,39,38.0,15514,19419,79.9,272151,98830,7117,8113,87.7,6361,7461,85.3,1591,2794,56.9,65,48.0,36.3,+17.0,398,1230,286,74,1648,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
fb08dbb3,/en/squads/fb08dbb3/2021-2022/Brest-Stats,vs Brest,25,38.0,17707,21518,82.3,312102,110371,7633,8629,88.5,7913,8931,88.6,1655,2823,58.6,41,43.2,42.2,-2.2,387,1300,325,89,1813,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
d9676424,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats,vs Clermont Foot,28,38.0,15954,19625,81.3,290194,98961,6705,7602,88.2,7105,8113,87.6,1717,2922,58.8,44,38.6,36.6,+5.4,348,1182,265,76,1448,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
fd4e0f7d,/en/squads/fd4e0f7d/2021-2022/Lens-Stats,vs Lens,28,38.0,15865,19558,81.1,277339,96470,7158,8048,88.9,6615,7570,87.4,1584,2855,55.5,31,28.8,30.0,+2.2,300,1071,242,56,1332,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
cb188c0c,/en/squads/cb188c0c/2021-2022/Lille-Stats,vs Lille,26,38.0,14511,18332,79.2,260122,94606,6441,7368,87.4,6079,7108,85.5,1573,2892,54.4,24,24.0,28.0,0.0,319,1037,250,62,1476,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
d2c87802,/en/squads/d2c87802/2021-2022/Lorient-Stats,vs Lorient,29,38.0,17424,21134,82.4,303557,106267,7964,8961,88.9,7033,8038,87.5,1787,2888,61.9,39,34.3,39.6,+4.7,348,1296,289,94,1625,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
d53c0b06,/en/squads/d53c0b06/2021-2022/Lyon-Stats,vs Lyon,30,38.0,12959,16600,78.1,227412,89776,6027,6920,87.1,4967,5940,83.6,1446,2577,56.1,30,39.1,32.7,-9.1,342,984,256,70,1321,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
5725cc7b,/en/squads/5725cc7b/2021-2022/Marseille-Stats,vs Marseille,27,38.0,12190,15309,79.6,218865,81172,5392,6100,88.4,5077,5854,86.7,1376,2495,55.2,27,28.6,27.0,-1.6,242,903,184,56,1122,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
f83960ae,/en/squads/f83960ae/2021-2022/Metz-Stats,vs Metz,36,38.0,17036,21004,81.1,301122,109831,7473,8518,87.7,7165,8261,86.7,1797,2911,61.7,50,45.2,46.0,+4.8,418,1339,335,78,1742,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
fd6114db,/en/squads/fd6114db/2021-2022/Monaco-Stats,vs Monaco,27,38.0,13722,17624,77.9,247352,93990,6079,7035,86.4,5579,6605,84.5,1617,2977,54.3,25,26.2,26.0,-1.2,304,936,232,72,1253,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
281b0e73,/en/squads/281b0e73/2021-2022/Montpellier-Stats,vs Montpellier,27,38.0,15556,19274,80.7,275094,100523,7168,8076,88.8,6199,7283,85.1,1711,2894,59.1,41,43.5,40.6,-2.5,469,1327,335,87,1660,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
d7a486cd,/en/squads/d7a486cd/2021-2022/Nantes-Stats,vs Nantes,26,38.0,17497,21387,81.8,300513,108219,8106,9122,88.9,7238,8330,86.9,1610,2792,57.7,34,35.0,35.4,-1.0,334,1307,314,73,1707,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
132ebc33,/en/squads/132ebc33/2021-2022/Nice-Stats,vs Nice,27,38.0,15122,18844,80.2,275031,95542,6434,7302,88.1,6488,7439,87.2,1759,3057,57.5,24,29.8,31.8,-5.8,309,1144,264,80,1396,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
e2d8892c,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats,vs Paris S-G,36,38.0,12815,15650,81.9,219503,79766,6384,7072,90.3,4614,5369,85.9,1367,2284,59.9,25,29.4,29.6,-4.4,312,887,202,55,1090,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
7fdd64e0,/en/squads/7fdd64e0/2021-2022/Reims-Stats,vs Reims,35,38.0,17907,21846,82.0,321293,105893,7795,8790,88.7,7553,8589,87.9,2004,3245,61.8,26,30.4,36.5,-4.4,366,1406,314,91,1614,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
b3072e00,/en/squads/b3072e00/2021-2022/Rennes-Stats,vs Rennes,28,38.0,13060,16756,77.9,237254,84014,5824,6687,87.1,5106,6004,85.0,1620,2929,55.3,27,29.7,30.7,-2.7,261,986,202,72,1172,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
d298ef2c,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats,vs Saint-Étienne,39,38.0,15123,19112,79.1,265609,100200,6920,7897,87.6,6014,7126,84.4,1648,2864,57.5,57,42.9,37.6,+14.1,346,1137,258,77,1445,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
c0d3eab4,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats,vs Strasbourg,26,38.0,15468,19277,80.2,282244,96615,6600,7602,86.8,6617,7611,86.9,1815,3076,59.0,31,31.3,31.1,-0.3,307,1058,212,63,1334,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
54195385,/en/squads/54195385/2021-2022/Troyes-Stats,vs Troyes,35,38.0,17526,21179,82.8,318235,105313,7105,8016,88.6,7972,8974,88.8,1923,3069,62.7,30,35.6,40.5,-5.6,339,1366,328,81,1739,13,2021-2022,4d8818a6-c1b6-4a66-b481-6abefa357482
