team_id,team_url,team,players_used_away,minutes_90s_away,tackles_away,tackles_won_away,tackles_def_3rd_away,tackles_mid_3rd_away,tackles_att_3rd_away,challenge_tackles_away,challenges_away,challenge_tackles_pct_away,challenges_lost_away,blocks_away,blocked_shots_away,blocked_passes_away,interceptions_away,tackles_interceptions_away,clearances_away,errors_away,competition_id,season_id,id
69236f98,/en/squads/69236f98/2021-2022/Angers-Stats,vs Angers,30,38.0,811,504,365,344,102,438,839,52.2,401,347,89,258,423,1234,538,11,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
123f3efe,/en/squads/123f3efe/2021-2022/Bordeaux-Stats,vs Bordeaux,39,38.0,615,377,283,258,74,302,657,46.0,355,394,122,272,397,1012,641,15,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
fb08dbb3,/en/squads/fb08dbb3/2021-2022/Brest-Stats,vs Brest,25,38.0,637,390,340,244,53,325,640,50.8,315,341,88,253,366,1003,616,4,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
d9676424,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats,vs Clermont Foot,28,38.0,682,393,288,293,101,272,599,45.4,327,395,103,292,475,1157,642,9,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
fd4e0f7d,/en/squads/fd4e0f7d/2021-2022/Lens-Stats,vs Lens,28,38.0,585,333,296,228,61,249,594,41.9,345,369,119,250,474,1059,613,17,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
cb188c0c,/en/squads/cb188c0c/2021-2022/Lille-Stats,vs Lille,26,38.0,653,395,321,262,70,306,619,49.4,313,410,101,309,437,1090,601,10,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
d2c87802,/en/squads/d2c87802/2021-2022/Lorient-Stats,vs Lorient,29,38.0,622,388,267,270,85,290,597,48.6,307,373,116,257,392,1014,540,9,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
d53c0b06,/en/squads/d53c0b06/2021-2022/Lyon-Stats,vs Lyon,30,38.0,733,403,382,279,72,325,814,39.9,489,435,147,288,485,1218,629,9,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
5725cc7b,/en/squads/5725cc7b/2021-2022/Marseille-Stats,vs Marseille,27,38.0,594,351,307,210,77,266,573,46.4,307,414,127,287,404,998,610,5,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
f83960ae,/en/squads/f83960ae/2021-2022/Metz-Stats,vs Metz,36,38.0,639,387,244,303,92,275,609,45.2,334,355,96,259,359,998,504,4,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
fd6114db,/en/squads/fd6114db/2021-2022/Monaco-Stats,vs Monaco,27,38.0,607,360,308,246,53,286,652,43.9,366,407,113,294,506,1113,806,9,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
281b0e73,/en/squads/281b0e73/2021-2022/Montpellier-Stats,vs Montpellier,27,38.0,614,384,266,246,102,274,590,46.4,316,376,120,256,411,1025,683,9,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
d7a486cd,/en/squads/d7a486cd/2021-2022/Nantes-Stats,vs Nantes,26,38.0,695,409,386,233,76,343,676,50.7,333,319,93,226,357,1052,666,10,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
132ebc33,/en/squads/132ebc33/2021-2022/Nice-Stats,vs Nice,27,38.0,658,386,321,252,85,310,697,44.5,387,372,100,272,381,1039,677,9,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
e2d8892c,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats,vs Paris S-G,36,38.0,729,393,417,240,72,381,871,43.7,490,380,127,253,455,1184,571,8,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
7fdd64e0,/en/squads/7fdd64e0/2021-2022/Reims-Stats,vs Reims,35,38.0,589,335,246,251,92,265,594,44.6,329,368,86,282,367,956,551,9,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
b3072e00,/en/squads/b3072e00/2021-2022/Rennes-Stats,vs Rennes,28,38.0,512,295,240,212,60,243,530,45.8,287,396,137,259,392,904,665,11,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
d298ef2c,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats,vs Saint-Étienne,39,38.0,737,415,316,321,100,339,736,46.1,397,380,105,275,402,1139,591,16,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
c0d3eab4,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats,vs Strasbourg,26,38.0,526,284,269,199,58,226,498,45.4,272,348,99,249,406,932,771,19,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
54195385,/en/squads/54195385/2021-2022/Troyes-Stats,vs Troyes,35,38.0,590,356,257,256,77,268,586,45.7,318,361,79,282,379,969,597,4,13,2021-2022,3e4b208a-46ea-40d8-9816-0d64980b96fe
