team_id,team_url,team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,competition_id,season_id,id
69236f98,/en/squads/69236f98/2021-2022/Angers-Stats,Angers,30,38.0,671,17.66,439,76,58,36,45,17,71,1.87,38,6,6,9,10,2,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
123f3efe,/en/squads/123f3efe/2021-2022/Bordeaux-Stats,Bordeaux,39,38.0,768,20.21,539,73,53,48,32,23,91,2.39,61,12,9,5,3,1,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
fb08dbb3,/en/squads/fb08dbb3/2021-2022/Brest-Stats,Brest,25,38.0,698,18.37,490,75,40,43,36,14,78,2.05,49,7,7,7,6,2,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
d9676424,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats,Clermont Foot,28,38.0,771,20.29,553,76,53,49,30,10,64,1.68,43,7,5,6,3,0,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
fd4e0f7d,/en/squads/fd4e0f7d/2021-2022/Lens-Stats,Lens,28,38.0,900,23.68,680,60,53,56,30,21,106,2.79,75,4,6,11,7,3,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
cb188c0c,/en/squads/cb188c0c/2021-2022/Lille-Stats,Lille,26,38.0,811,21.34,592,73,53,45,35,13,81,2.13,50,7,7,9,8,0,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
d2c87802,/en/squads/d2c87802/2021-2022/Lorient-Stats,Lorient,29,38.0,758,19.95,531,62,45,50,48,22,60,1.58,39,2,8,4,7,0,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
d53c0b06,/en/squads/d53c0b06/2021-2022/Lyon-Stats,Lyon,30,38.0,986,25.95,745,65,61,61,40,14,111,2.92,83,4,5,12,7,0,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
5725cc7b,/en/squads/5725cc7b/2021-2022/Marseille-Stats,Marseille,27,38.0,904,23.79,662,78,43,53,54,14,110,2.89,75,7,5,8,12,3,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
f83960ae,/en/squads/f83960ae/2021-2022/Metz-Stats,Metz,36,38.0,634,16.68,449,62,33,36,41,13,55,1.45,39,3,3,5,5,0,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
fd6114db,/en/squads/fd6114db/2021-2022/Monaco-Stats,Monaco,27,38.0,779,20.50,572,74,39,40,41,13,107,2.82,87,3,4,5,8,0,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
281b0e73,/en/squads/281b0e73/2021-2022/Montpellier-Stats,Montpellier,27,38.0,736,19.37,516,60,41,41,61,17,85,2.24,59,7,6,6,6,1,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
d7a486cd,/en/squads/d7a486cd/2021-2022/Nantes-Stats,Nantes,26,38.0,723,19.03,498,81,45,48,38,13,89,2.34,62,6,7,6,7,1,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
132ebc33,/en/squads/132ebc33/2021-2022/Nice-Stats,Nice,27,38.0,789,20.76,575,69,52,41,39,13,94,2.47,70,4,5,6,9,0,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
e2d8892c,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats,Paris S-G,36,38.0,1018,26.79,767,56,83,54,44,14,159,4.18,119,6,18,9,6,1,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
7fdd64e0,/en/squads/7fdd64e0/2021-2022/Reims-Stats,Reims,35,38.0,692,18.21,498,59,52,32,38,13,71,1.87,46,7,4,6,8,0,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
b3072e00,/en/squads/b3072e00/2021-2022/Rennes-Stats,Rennes,28,38.0,971,25.55,712,103,32,74,37,13,151,3.97,120,7,6,10,6,2,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
d298ef2c,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats,Saint-Étienne,39,38.0,749,19.71,517,69,59,42,48,14,65,1.71,37,9,5,7,5,2,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
c0d3eab4,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats,Strasbourg,26,38.0,810,21.32,588,82,30,55,43,12,98,2.58,70,5,5,10,8,0,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
54195385,/en/squads/54195385/2021-2022/Troyes-Stats,Troyes,35,38.0,668,17.58,472,60,44,43,38,11,54,1.42,33,4,2,9,6,0,13,2021-2022,4363f47a-6841-46cf-acec-6278b9d4bd74
