team_id,team_url,team,players_used_away,minutes_90s_away,cards_yellow_away,cards_red_away,cards_yellow_red_away,fouls_away,fouled_away,offsides_away,crosses_away,interceptions_away,tackles_won_away,pens_won_away,pens_conceded_away,own_goals_away,ball_recoveries_away,aerials_won_away,aerials_lost_away,aerials_won_pct_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2021-2022/Arsenal-Stats,vs Arsenal,27,38.0,69,3,2,375,346,64,606,364,339,5,8,1,1817,572,463,55.3,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
8602292d,/en/squads/8602292d/2021-2022/Aston-Villa-Stats,vs Aston Villa,31,38.0,83,1,0,512,392,39,685,339,343,5,3,2,1922,561,538,51.0,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
cd051869,/en/squads/cd051869/2021-2022/Brentford-Stats,vs Brentford,29,38.0,50,3,0,377,357,71,812,381,285,5,6,2,2204,728,717,50.4,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
d07537b9,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats,vs Brighton,26,38.0,80,0,0,373,373,42,680,389,358,3,7,2,2094,498,569,46.7,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
943e8050,/en/squads/943e8050/2021-2022/Burnley-Stats,vs Burnley,23,38.0,44,0,0,339,381,54,861,280,306,3,2,2,2068,733,827,47.0,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
cff3d9bb,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats,vs Chelsea,26,38.0,69,4,1,406,389,67,533,376,356,4,9,1,1921,486,538,47.5,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
47c64c55,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats,vs Crystal Palace,24,38.0,74,3,2,499,391,53,664,378,440,2,8,0,2109,618,610,50.3,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
d3fd31cc,/en/squads/d3fd31cc/2021-2022/Everton-Stats,vs Everton,33,38.0,72,0,0,400,345,43,719,333,336,1,7,1,2049,725,634,53.3,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
5bfb9659,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats,vs Leeds United,29,38.0,74,3,3,386,465,53,568,398,351,4,5,0,2228,626,470,57.1,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
a2d435b3,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats,vs Leicester City,28,38.0,60,0,0,406,350,73,738,400,370,7,2,0,2104,553,530,51.1,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
822bd0ba,/en/squads/822bd0ba/2021-2022/Liverpool-Stats,vs Liverpool,27,38.0,63,3,0,311,348,144,460,487,350,0,8,0,2137,467,571,45.0,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
b8fd03ef,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats,vs Manchester City,26,38.0,68,3,2,342,306,94,397,374,359,1,9,3,1665,397,482,45.2,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
19538871,/en/squads/19538871/2021-2022/Manchester-United-Stats,vs Manchester Utd,29,38.0,48,1,0,333,386,72,648,430,347,3,5,1,2039,443,555,44.4,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
b2b47a98,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats,vs Newcastle Utd,29,38.0,75,3,0,382,380,58,685,268,364,5,3,3,1967,619,677,47.8,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
1c781004,/en/squads/1c781004/2021-2022/Norwich-City-Stats,vs Norwich City,28,38.0,62,2,1,445,342,56,793,330,363,8,3,2,2085,598,493,54.8,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
33c895d4,/en/squads/33c895d4/2021-2022/Southampton-Stats,vs Southampton,25,38.0,64,1,1,377,390,65,721,349,357,2,4,2,2198,726,672,51.9,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
361ca564,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats,vs Tottenham,25,38.0,83,6,4,411,369,43,740,368,369,0,5,6,1925,500,560,47.2,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
2abfe087,/en/squads/2abfe087/2021-2022/Watford-Stats,vs Watford,30,38.0,64,1,1,364,428,55,801,347,438,6,2,1,2253,749,711,51.3,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
7c21e445,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats,vs West Ham,25,38.0,49,3,1,294,307,35,758,337,324,5,6,2,1901,628,639,49.6,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
8cec06e1,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats,vs Wolves,26,38.0,90,3,3,355,356,85,721,383,388,8,1,3,2122,490,461,51.5,9,2021-2022,68a83102-5ffa-4add-9f4a-86b4634d24ee
