team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,competition_id,season_id,id
19c3f8c4,/en/squads/19c3f8c4/2023-2024/Ajax-Stats,Ajax,35,34.0,72,514,208,40.5,15.12,6.12,0.13,0.32,16.3,11,5,6,65.1,60.4,0.12,+6.9,+6.6,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
2b41acb5,/en/squads/2b41acb5/2023-2024/Almere-City-Stats,Almere City,29,34.0,32,375,109,29.1,11.03,3.21,0.08,0.27,17.9,12,3,3,34.7,32.5,0.09,-2.7,-3.5,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
3986b791,/en/squads/3986b791/2023-2024/AZ-Alkmaar-Stats,AZ Alkmaar,33,34.0,68,478,174,36.4,14.06,5.12,0.14,0.38,16.5,16,2,2,56.6,55.0,0.12,+11.4,+11.0,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
740cb7d4,/en/squads/740cb7d4/2023-2024/Excelsior-Stats,Excelsior,27,34.0,48,377,137,36.3,11.09,4.03,0.12,0.34,16.5,9,1,1,45.7,45.0,0.12,+2.3,+2.0,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
fb4ca611,/en/squads/fb4ca611/2023-2024/Feyenoord-Stats,Feyenoord,25,34.0,90,694,253,36.5,20.41,7.44,0.12,0.34,16.5,23,4,7,93.1,87.7,0.13,-3.1,-1.7,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
bd08295c,/en/squads/bd08295c/2023-2024/Fortuna-Sittard-Stats,Fortuna Sittard,32,34.0,36,471,151,32.1,13.85,4.44,0.07,0.22,18.5,16,3,7,44.7,39.2,0.09,-8.7,-6.2,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
e33d6108,/en/squads/e33d6108/2023-2024/Go-Ahead-Eagles-Stats,Go Ahead Eag,23,34.0,47,486,185,38.1,14.29,5.44,0.09,0.23,17.6,21,4,5,49.5,45.6,0.10,-2.5,-2.6,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
193ff7aa,/en/squads/193ff7aa/2023-2024/Heerenveen-Stats,Heerenveen,26,34.0,52,486,153,31.5,14.29,4.50,0.09,0.29,18.0,14,7,8,46.9,40.7,0.09,+5.1,+4.3,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
c882b88e,/en/squads/c882b88e/2023-2024/Heracles-Almelo-Stats,Heracles Almelo,27,34.0,41,362,116,32.0,10.65,3.41,0.10,0.31,17.9,8,5,6,41.7,37.1,0.10,-0.7,-1.1,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
fc629994,/en/squads/fc629994/2023-2024/NEC-Nijmegen-Stats,NEC Nijmegen,28,34.0,67,440,193,43.9,12.94,5.68,0.14,0.32,18.0,19,6,6,48.0,43.3,0.10,+19.0,+17.7,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
e334d850,/en/squads/e334d850/2023-2024/PSV-Eindhoven-Stats,PSV Eindhoven,29,34.0,108,780,291,37.3,22.94,8.56,0.13,0.35,16.5,7,7,9,99.0,92.0,0.12,+9.0,+9.0,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
bb14adb3,/en/squads/bb14adb3/2023-2024/RKC-Waalwijk-Stats,RKC Waalwijk,26,34.0,37,408,140,34.3,12.00,4.12,0.08,0.23,17.5,15,5,5,44.5,40.6,0.10,-7.5,-8.6,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
146a68ce,/en/squads/146a68ce/2023-2024/Sparta-Rotterdam-Stats,Sparta R'dam,26,34.0,49,435,163,37.5,12.79,4.79,0.10,0.27,17.7,11,5,5,46.2,42.2,0.10,+2.8,+1.8,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
a1f721d3,/en/squads/a1f721d3/2023-2024/Twente-Stats,Twente,26,34.0,67,565,167,29.6,16.62,4.91,0.11,0.38,17.5,20,3,3,57.9,55.7,0.10,+9.1,+8.3,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
2a428619,/en/squads/2a428619/2023-2024/Utrecht-Stats,Utrecht,35,34.0,48,448,151,33.7,13.18,4.44,0.10,0.31,16.3,9,1,1,46.3,45.5,0.10,+1.7,+1.5,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
209d7fa2,/en/squads/209d7fa2/2023-2024/Vitesse-Stats,Vitesse,31,34.0,29,447,145,32.4,13.15,4.26,0.06,0.19,17.2,10,1,1,37.7,36.9,0.08,-8.7,-8.9,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
8783f4ee,/en/squads/8783f4ee/2023-2024/Volendam-Stats,Volendam,37,34.0,33,341,116,34.0,10.03,3.41,0.09,0.28,16.3,7,1,1,36.6,35.8,0.11,-3.6,-3.8,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
e3db180b,/en/squads/e3db180b/2023-2024/Zwolle-Stats,Zwolle,29,34.0,45,427,160,37.5,12.56,4.71,0.10,0.27,17.9,14,2,2,43.1,41.5,0.10,+1.9,+1.5,23,2023-2024,064aca0e-a432-4a0e-9597-60644b020381
