team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,competition_id,season_id,id
922493f3,/en/squads/922493f3/2023-2024/Atalanta-Stats,Atalanta,29,26.3,51.0,38,418,"3,420",38.0,72,57,129,67,5,5,76,1,57.8,53.9,43.9,97.8,715,1754,1.89,1.50,3.39,1.76,3.26,1.52,1.16,2.68,1.42,2.57,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
1d8099f8,/en/squads/1d8099f8/2023-2024/Bologna-Stats,Bologna,28,25.2,58.1,38,418,"3,420",38.0,52,32,84,48,4,5,85,2,47.9,44.0,32.1,76.1,660,1453,1.37,0.84,2.21,1.26,2.11,1.26,0.84,2.11,1.16,2.00,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
c4260e09,/en/squads/c4260e09/2023-2024/Cagliari-Stats,Cagliari,29,26.1,42.1,38,418,"3,420",38.0,41,30,71,37,4,6,77,4,42.9,38.4,29.1,67.5,529,1109,1.08,0.79,1.87,0.97,1.76,1.13,0.77,1.90,1.01,1.78,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
a3d88bd8,/en/squads/a3d88bd8/2023-2024/Empoli-Stats,Empoli,34,26.0,44.0,38,418,"3,420",38.0,26,19,45,21,5,5,88,1,36.2,32.4,25.8,58.3,524,1056,0.68,0.50,1.18,0.55,1.05,0.95,0.68,1.63,0.85,1.53,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
421387cf,/en/squads/421387cf/2023-2024/Fiorentina-Stats,Fiorentina,30,27.0,57.4,38,418,"3,420",38.0,60,41,101,56,4,8,80,0,51.7,45.4,35.3,80.7,621,1656,1.58,1.08,2.66,1.47,2.55,1.36,0.93,2.29,1.19,2.12,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
6a7ad59d,/en/squads/6a7ad59d/2023-2024/Frosinone-Stats,Frosinone,34,24.3,49.7,38,418,"3,420",38.0,44,29,73,36,8,10,68,2,45.8,37.9,30.2,68.1,563,1326,1.16,0.76,1.92,0.95,1.71,1.20,0.79,2.00,1.00,1.79,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
658bf2de,/en/squads/658bf2de/2023-2024/Genoa-Stats,Genoa,34,26.7,44.1,38,418,"3,420",38.0,43,27,70,38,5,6,79,3,35.7,31.0,22.8,53.8,468,1079,1.13,0.71,1.84,1.00,1.71,0.94,0.60,1.54,0.82,1.42,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
0e72edf2,/en/squads/0e72edf2/2023-2024/Hellas-Verona-Stats,Hellas Verona,36,25.7,44.4,38,418,"3,420",38.0,38,29,67,35,3,7,88,6,38.0,32.4,27.2,59.6,539,1122,1.00,0.76,1.76,0.92,1.68,1.00,0.72,1.72,0.85,1.57,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
d609edc0,/en/squads/d609edc0/2023-2024/Internazionale-Stats,Inter,27,29.1,57.1,38,418,"3,420",38.0,87,60,147,74,13,14,46,1,78.2,67.4,55.6,123.0,720,1620,2.29,1.58,3.87,1.95,3.53,2.06,1.46,3.52,1.77,3.24,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
e0652b02,/en/squads/e0652b02/2023-2024/Juventus-Stats,Juventus,31,26.5,48.5,38,418,"3,420",38.0,52,37,89,49,3,5,87,2,54.6,50.6,39.6,90.2,709,1473,1.37,0.97,2.34,1.29,2.26,1.44,1.04,2.48,1.33,2.37,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
7213da33,/en/squads/7213da33/2023-2024/Lazio-Stats,Lazio,22,28.2,53.3,38,418,"3,420",38.0,46,30,76,42,4,4,101,5,46.5,43.4,32.9,76.4,716,1528,1.21,0.79,2.00,1.11,1.89,1.22,0.87,2.09,1.14,2.01,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
ffcbe334,/en/squads/ffcbe334/2023-2024/Lecce-Stats,Lecce,26,24.9,44.9,38,418,"3,420",38.0,30,23,53,27,3,5,89,5,43.1,39.2,30.6,69.9,638,1183,0.79,0.61,1.39,0.71,1.32,1.14,0.81,1.94,1.03,1.84,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
dc56fe14,/en/squads/dc56fe14/2023-2024/Milan-Stats,Milan,35,26.6,56.9,38,418,"3,420",38.0,76,56,132,70,6,8,82,8,66.2,60.0,46.0,106.0,899,1569,2.00,1.47,3.47,1.84,3.32,1.74,1.21,2.95,1.58,2.79,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
21680aa4,/en/squads/21680aa4/2023-2024/Monza-Stats,Monza,31,26.8,53.5,38,418,"3,420",38.0,38,29,67,34,4,5,88,5,39.5,35.9,27.8,63.8,723,1248,1.00,0.76,1.76,0.89,1.66,1.04,0.73,1.77,0.95,1.68,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
d48ad4ff,/en/squads/d48ad4ff/2023-2024/Napoli-Stats,Napoli,29,27.2,60.9,38,418,"3,420",38.0,54,36,90,48,6,10,77,5,61.4,53.3,42.9,96.2,802,1758,1.42,0.95,2.37,1.26,2.21,1.62,1.13,2.74,1.40,2.53,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
cf74a709,/en/squads/cf74a709/2023-2024/Roma-Stats,Roma,30,27.7,54.9,38,418,"3,420",38.0,64,44,108,53,11,12,95,3,51.4,42.3,34.4,76.7,682,1469,1.68,1.16,2.84,1.39,2.55,1.35,0.91,2.26,1.11,2.02,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
c5577084,/en/squads/c5577084/2023-2024/Salernitana-Stats,Salernitana,39,27.2,44.5,38,418,"3,420",38.0,32,25,57,30,2,2,91,3,30.3,28.7,22.4,51.1,499,1119,0.84,0.66,1.50,0.79,1.45,0.80,0.59,1.39,0.76,1.34,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
e2befd26,/en/squads/e2befd26/2023-2024/Sassuolo-Stats,Sassuolo,30,26.4,43.8,38,418,"3,420",38.0,42,28,70,35,7,8,71,4,39.8,33.8,25.9,59.7,636,1301,1.11,0.74,1.84,0.92,1.66,1.05,0.68,1.73,0.89,1.57,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
105360fe,/en/squads/105360fe/2023-2024/Torino-Stats,Torino,30,26.4,51.6,38,418,"3,420",38.0,35,29,64,33,2,2,75,2,37.7,36.1,30.1,66.2,710,1333,0.92,0.76,1.68,0.87,1.63,0.99,0.79,1.78,0.95,1.74,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
04eea015,/en/squads/04eea015/2023-2024/Udinese-Stats,Udinese,32,25.7,39.3,38,418,"3,420",38.0,36,23,59,33,3,4,94,5,39.1,36.8,28.0,64.9,602,1022,0.95,0.61,1.55,0.87,1.47,1.03,0.74,1.77,0.97,1.71,11,2023-2024,0f220643-0191-4ce3-8878-2d067c03cb2f
