rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,d48ad4ff,/en/squads/d48ad4ff/2024-2025/Napoli-Stats,Napoli,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d48ad4ff.png,19,14,3,2,32,13,+19,45,2.37,32.3,14.1,+18.2,+0.96,19,10,7,2,27,14,+13,37,1.95,20.6,15.4,+5.2,+0.27,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
2,d609edc0,/en/squads/d609edc0/2024-2025/Internazionale-Stats,Inter,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d609edc0.png,19,13,4,2,40,21,+19,43,2.26,34.2,19.3,+14.9,+0.78,18,11,5,2,39,14,+25,38,2.11,32.7,17.1,+15.6,+0.82,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
3,922493f3,/en/squads/922493f3/2024-2025/Atalanta-Stats,Atalanta,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.922493f3.png,19,9,5,5,36,24,+12,32,1.68,30.1,18.6,+11.5,+0.61,19,13,3,3,42,13,+29,42,2.21,34.8,20.0,+14.8,+0.78,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
4,e0652b02,/en/squads/e0652b02/2024-2025/Juventus-Stats,Juventus,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e0652b02.png,19,11,7,1,31,15,+16,40,2.11,27.1,15.4,+11.7,+0.62,19,7,9,3,27,20,+7,30,1.58,23.9,18.7,+5.2,+0.27,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
5,squads,/en/squads/cf74a709/Roma-Stats,Roma,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cf74a709.png,19,13,2,4,37,15,+22,41,2.16,27.7,18.1,+9.6,+0.51,19,7,7,5,19,20,-1,28,1.47,25.2,22.7,+2.5,+0.13,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
6,squads,/en/squads/7213da33/Lazio-Stats,Lazio,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7213da33.png,19,7,9,3,33,26,+7,30,1.58,30.0,16.4,+13.6,+0.71,19,11,2,6,28,23,+5,35,1.84,27.2,21.3,+6.0,+0.31,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
7,squads,/en/squads/dc56fe14/Milan-Stats,Milan,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.dc56fe14.png,19,9,7,3,30,16,+14,34,1.79,30.0,18.6,+11.4,+0.60,19,9,2,8,31,27,+4,29,1.53,33.7,22.7,+11.1,+0.58,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
8,squads,/en/squads/421387cf/Fiorentina-Stats,Fiorentina,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.421387cf.png,18,11,4,3,32,18,+14,37,2.06,26.7,18.4,+8.3,+0.44,19,7,4,8,28,23,+5,25,1.32,22.2,24.4,-2.2,-0.12,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
9,squads,/en/squads/1d8099f8/Bologna-Stats,Bologna,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1d8099f8.png,19,10,7,2,33,18,+15,37,1.95,30.4,16.1,+14.3,+0.75,19,6,7,6,24,29,-5,25,1.32,18.9,20.6,-1.7,-0.09,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
10,squads,/en/squads/28c9c3cd/Como-Stats,Como,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.28c9c3cd.png,19,8,5,6,28,26,+2,29,1.53,25.7,21.8,+3.9,+0.21,19,5,5,9,21,26,-5,20,1.05,19.7,21.2,-1.5,-0.08,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
11,squads,/en/squads/105360fe/Torino-Stats,Torino,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.105360fe.png,19,6,7,6,17,18,-1,25,1.32,17.7,25.1,-7.4,-0.39,19,4,7,8,22,27,-5,19,1.00,16.8,25.3,-8.5,-0.45,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
12,squads,/en/squads/04eea015/Udinese-Stats,Udinese,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.04eea015.png,19,7,3,9,22,27,-5,24,1.26,19.5,27.0,-7.5,-0.40,19,5,5,9,19,29,-10,20,1.05,18.7,25.6,-6.9,-0.37,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
13,squads,/en/squads/658bf2de/Genoa-Stats,Genoa,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.658bf2de.png,19,5,7,7,21,25,-4,22,1.16,21.1,23.9,-2.9,-0.15,19,5,6,8,16,24,-8,21,1.11,16.1,23.2,-7.1,-0.37,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
14,squads,/en/squads/0e72edf2/Hellas-Verona-Stats,Hellas Verona,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.0e72edf2.png,19,4,5,10,15,36,-21,17,0.89,19.1,25.4,-6.3,-0.33,19,6,2,11,19,30,-11,20,1.05,14.7,28.0,-13.3,-0.70,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
15,squads,/en/squads/c4260e09/Cagliari-Stats,Cagliari,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c4260e09.png,19,6,4,9,24,28,-4,22,1.16,23.4,25.1,-1.6,-0.09,19,3,5,11,16,28,-12,14,0.74,19.3,30.2,-11.0,-0.58,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
16,squads,/en/squads/eab4234c/Parma-Stats,Parma,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.eab4234c.png,19,5,6,8,25,28,-3,21,1.11,25.6,27.3,-1.7,-0.09,19,2,9,8,19,30,-11,15,0.79,17.5,29.1,-11.6,-0.61,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
17,squads,/en/squads/ffcbe334/Lecce-Stats,Lecce,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.ffcbe334.png,19,4,6,9,13,31,-18,18,0.95,18.8,26.6,-7.8,-0.41,19,4,4,11,14,27,-13,16,0.84,15.8,30.5,-14.7,-0.77,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
18,squads,/en/squads/a3d88bd8/Empoli-Stats,Empoli,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a3d88bd8.png,19,2,7,10,10,26,-16,13,0.68,11.9,20.6,-8.7,-0.46,19,4,6,9,23,33,-10,18,0.95,20.6,29.5,-8.8,-0.46,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
19,squads,/en/squads/af5d5982/Venezia-Stats,Venezia,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.af5d5982.png,19,5,5,9,17,22,-5,20,1.05,20.8,24.3,-3.5,-0.18,19,0,9,10,15,34,-19,9,0.47,15.0,33.2,-18.2,-0.96,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
20,squads,/en/squads/21680aa4/Monza-Stats,Monza,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.21680aa4.png,19,1,5,13,13,31,-18,8,0.42,16.2,24.9,-8.7,-0.46,19,2,4,13,15,38,-23,10,0.53,13.7,29.8,-16.2,-0.85,11,2024-2025,e581468c-e788-49f8-96f9-5c8173827850
