team_id,team_url,team,players_used_away,minutes_90s_away,tackles_away,tackles_won_away,tackles_def_3rd_away,tackles_mid_3rd_away,tackles_att_3rd_away,challenge_tackles_away,challenges_away,challenge_tackles_pct_away,challenges_lost_away,blocks_away,blocked_shots_away,blocked_passes_away,interceptions_away,tackles_interceptions_away,clearances_away,errors_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2021-2022/Atalanta-Stats,vs Atalanta,32,38.0,683,407,385,234,64,307,679,45.2,372,515,184,331,429,1112,721,8,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
1d8099f8,/en/squads/1d8099f8/2021-2022/Bologna-Stats,vs Bologna,36,38.0,574,321,237,231,106,272,598,45.5,326,383,108,275,376,950,618,8,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
c4260e09,/en/squads/c4260e09/2021-2022/Cagliari-Stats,vs Cagliari,33,38.0,488,275,209,212,67,227,479,47.4,252,390,117,273,306,794,637,9,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
a3d88bd8,/en/squads/a3d88bd8/2021-2022/Empoli-Stats,vs Empoli,28,38.0,590,361,283,215,92,255,546,46.7,291,434,142,292,377,967,706,7,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
421387cf,/en/squads/421387cf/2021-2022/Fiorentina-Stats,vs Fiorentina,28,38.0,515,289,264,191,60,240,541,44.4,301,386,119,267,351,866,687,4,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
658bf2de,/en/squads/658bf2de/2021-2022/Genoa-Stats,vs Genoa,40,38.0,651,370,277,304,70,278,580,47.9,302,418,105,313,350,1001,736,7,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
0e72edf2,/en/squads/0e72edf2/2021-2022/Hellas-Verona-Stats,vs Hellas Verona,31,38.0,659,367,305,287,67,276,589,46.9,313,425,117,308,425,1084,569,16,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
d609edc0,/en/squads/d609edc0/2021-2022/Internazionale-Stats,vs Inter,27,38.0,461,251,230,172,59,216,471,45.9,255,447,172,275,395,856,832,8,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
e0652b02,/en/squads/e0652b02/2021-2022/Juventus-Stats,vs Juventus,32,38.0,582,334,277,224,81,270,637,42.4,367,389,120,269,364,946,570,12,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
7213da33,/en/squads/7213da33/2021-2022/Lazio-Stats,vs Lazio,27,38.0,547,319,243,223,81,274,608,45.1,334,351,89,262,399,946,621,14,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
dc56fe14,/en/squads/dc56fe14/2021-2022/Milan-Stats,vs Milan,28,38.0,635,352,318,250,67,323,779,41.5,456,431,158,273,356,991,722,16,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
d48ad4ff,/en/squads/d48ad4ff/2021-2022/Napoli-Stats,vs Napoli,27,38.0,532,320,248,220,64,238,595,40.0,357,455,155,300,397,929,613,19,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
cf74a709,/en/squads/cf74a709/2021-2022/Roma-Stats,vs Roma,29,38.0,586,361,290,226,70,299,630,47.5,331,402,165,237,383,969,722,5,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
c5577084,/en/squads/c5577084/2021-2022/Salernitana-Stats,vs Salernitana,42,38.0,602,341,267,244,91,272,586,46.4,314,373,114,259,315,917,702,12,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
8ff9e3b3,/en/squads/8ff9e3b3/2021-2022/Sampdoria-Stats,vs Sampdoria,34,38.0,464,276,177,196,91,194,422,46.0,228,410,108,302,363,827,631,7,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
e2befd26,/en/squads/e2befd26/2021-2022/Sassuolo-Stats,vs Sassuolo,29,38.0,661,371,286,271,104,275,678,40.6,403,440,154,286,374,1035,573,12,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
68449f6d,/en/squads/68449f6d/2021-2022/Spezia-Stats,vs Spezia,30,38.0,607,366,270,234,103,254,546,46.5,292,388,105,283,334,941,514,7,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
105360fe,/en/squads/105360fe/2021-2022/Torino-Stats,vs Torino,31,38.0,502,284,267,190,45,216,511,42.3,295,390,123,267,300,802,625,9,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
04eea015,/en/squads/04eea015/2021-2022/Udinese-Stats,vs Udinese,29,38.0,650,363,301,254,95,316,679,46.5,363,390,126,264,340,990,611,9,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
af5d5982,/en/squads/af5d5982/2021-2022/Venezia-Stats,vs Venezia,39,38.0,589,341,251,246,92,276,576,47.9,300,377,82,295,370,959,560,5,11,2021-2022,937c6b91-d499-4e52-b95a-44083288f91b
