team_id,team_url,team,players_used_away,possession_away,minutes_90s_away,touches_away,touches_def_pen_area_away,touches_def_3rd_away,touches_mid_3rd_away,touches_att_3rd_away,touches_att_pen_area_away,touches_live_ball_away,take_ons_away,take_ons_won_away,take_ons_won_pct_away,take_ons_tackled_away,take_ons_tackled_pct_away,carries_away,carries_distance_away,carries_progressive_distance_away,progressive_carries_away,carries_into_final_third_away,carries_into_penalty_area_away,miscontrols_away,dispossessed_away,passes_received_away,progressive_passes_received_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2023-2024/Atalanta-Stats,vs Atalanta,29,48.9,38.0,23459,2653,8277,10686,4722,611,23450,667,306,45.9,291,43.6,12100,64625,30581,559,407,129,634,322,15025,1163,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
1d8099f8,/en/squads/1d8099f8/2023-2024/Bologna-Stats,vs Bologna,28,41.9,38.0,20260,2078,6258,9632,4581,651,20253,637,276,43.3,303,47.6,11050,61534,30801,590,397,146,572,330,12820,1219,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
c4260e09,/en/squads/c4260e09/2023-2024/Cagliari-Stats,vs Cagliari,29,57.9,38.0,24480,2364,7605,11414,5656,856,24475,583,261,44.8,264,45.3,13814,77492,41428,761,539,166,555,276,16459,1581,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
a3d88bd8,/en/squads/a3d88bd8/2023-2024/Empoli-Stats,vs Empoli,34,56.0,38.0,23885,2336,7804,10245,6018,943,23877,633,264,41.7,300,47.4,13609,71457,35923,678,504,196,570,318,15815,1556,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
421387cf,/en/squads/421387cf/2023-2024/Fiorentina-Stats,vs Fiorentina,30,42.7,38.0,19019,2838,8090,7772,3347,594,19010,571,237,41.5,275,48.2,9941,51251,23265,444,322,118,493,289,11221,977,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
6a7ad59d,/en/squads/6a7ad59d/2023-2024/Frosinone-Stats,vs Frosinone,34,50.3,38.0,21985,2355,7214,9898,5093,837,21977,576,272,47.2,253,43.9,11739,64858,31489,688,472,169,537,292,13842,1323,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
658bf2de,/en/squads/658bf2de/2023-2024/Genoa-Stats,vs Genoa,34,55.9,38.0,24035,2012,6648,11685,5922,797,24031,637,288,45.2,283,44.4,14051,77627,41821,769,581,141,577,342,16211,1544,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
0e72edf2,/en/squads/0e72edf2/2023-2024/Hellas-Verona-Stats,vs Hellas Verona,36,55.6,38.0,22494,2346,7614,10424,4687,786,22492,653,285,43.6,293,44.9,12374,65488,31958,571,407,156,622,328,14198,1335,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
d609edc0,/en/squads/d609edc0/2023-2024/Internazionale-Stats,vs Inter,27,42.9,38.0,20616,2525,6771,9368,4668,621,20612,522,240,46.0,234,44.8,11736,64506,32135,660,500,126,483,306,13593,1185,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
e0652b02,/en/squads/e0652b02/2023-2024/Juventus-Stats,vs Juventus,31,51.5,38.0,23447,2539,7169,10888,5582,634,23444,499,181,36.3,264,52.9,13849,72761,36241,658,592,106,533,313,16034,1363,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
7213da33,/en/squads/7213da33/2023-2024/Lazio-Stats,vs Lazio,22,46.7,38.0,22501,2682,8716,9528,4463,695,22498,691,335,48.5,283,41.0,13359,68822,32089,601,414,145,547,298,14998,1156,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
ffcbe334,/en/squads/ffcbe334/2023-2024/Lecce-Stats,vs Lecce,26,55.1,38.0,23230,2314,7056,10941,5435,808,23224,625,277,44.3,289,46.2,13001,69327,35129,639,482,148,598,316,15234,1506,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
dc56fe14,/en/squads/dc56fe14/2023-2024/Milan-Stats,vs Milan,35,43.1,38.0,19713,2457,6588,8756,4576,719,19705,586,248,42.3,273,46.6,11170,65506,32925,633,451,144,497,303,12607,1233,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
21680aa4,/en/squads/21680aa4/2023-2024/Monza-Stats,vs Monza,31,46.5,38.0,20885,1886,5562,9965,5570,845,20876,552,218,39.5,266,48.2,12514,72432,39118,818,556,176,493,299,14075,1475,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
d48ad4ff,/en/squads/d48ad4ff/2023-2024/Napoli-Stats,vs Napoli,29,39.1,38.0,18751,2750,7257,7869,3833,620,18747,606,291,48.0,263,43.4,9701,53851,26683,542,385,123,508,308,11260,1055,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
cf74a709,/en/squads/cf74a709/2023-2024/Roma-Stats,vs Roma,30,45.1,38.0,20773,2372,6481,9509,5014,709,20768,601,286,47.6,249,41.4,11805,66797,33048,665,505,144,493,320,13669,1288,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
c5577084,/en/squads/c5577084/2023-2024/Salernitana-Stats,vs Salernitana,39,55.5,38.0,24107,2081,6691,11540,6085,1010,24097,585,262,44.8,257,43.9,13485,73704,38086,778,550,177,539,279,16222,1636,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
e2befd26,/en/squads/e2befd26/2023-2024/Sassuolo-Stats,vs Sassuolo,30,56.2,38.0,24418,2566,8341,10580,5713,903,24407,608,286,47.0,245,40.3,14077,75484,38932,668,496,195,552,262,16594,1555,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
105360fe,/en/squads/105360fe/2023-2024/Torino-Stats,vs Torino,30,48.4,38.0,20733,2402,7394,9196,4327,636,20726,436,195,44.7,191,43.8,11658,60931,28147,539,434,141,525,280,13251,1038,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
04eea015,/en/squads/04eea015/2023-2024/Udinese-Stats,vs Udinese,32,60.7,38.0,24667,2030,6755,12129,6004,858,24658,643,272,42.3,299,46.5,14385,77678,39949,694,518,162,607,307,16772,1716,11,2023-2024,b53c4543-3cd0-4a2c-a227-7d2969ca8a93
