team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,competition_id,season_id,id
922493f3,/en/squads/922493f3/2015-2016/Atalanta-Stats,Atalanta,33,27.8,48.4,38,418,"3,420",38.0,38,23,61,34,4,6,114,0,1.00,0.61,1.61,0.89,1.50,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
1d8099f8,/en/squads/1d8099f8/2015-2016/Bologna-Stats,Bologna,31,27.0,45.8,38,418,"3,420",38.0,33,22,55,31,2,3,98,0,0.87,0.58,1.45,0.82,1.39,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
71f07916,/en/squads/71f07916/2015-2016/Carpi-Stats,Carpi,35,25.9,38.6,38,418,"3,420",38.0,33,22,55,28,5,8,115,0,0.87,0.58,1.45,0.74,1.32,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
cc919b35,/en/squads/cc919b35/2015-2016/Chievo-Stats,Chievo,26,30.5,45.3,38,418,"3,420",38.0,42,28,70,37,5,8,108,0,1.11,0.74,1.84,0.97,1.71,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
a3d88bd8,/en/squads/a3d88bd8/2015-2016/Empoli-Stats,Empoli,29,25.4,52.5,38,418,"3,420",38.0,39,29,68,38,1,2,101,0,1.03,0.76,1.79,1.00,1.76,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
421387cf,/en/squads/421387cf/2015-2016/Fiorentina-Stats,Fiorentina,26,27.6,61.0,38,418,"3,420",38.0,58,38,96,50,8,9,102,0,1.53,1.00,2.53,1.32,2.32,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
6a7ad59d,/en/squads/6a7ad59d/2015-2016/Frosinone-Stats,Frosinone,28,26.5,39.7,38,418,"3,420",38.0,34,22,56,31,3,3,116,0,0.89,0.58,1.47,0.82,1.39,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
658bf2de,/en/squads/658bf2de/2015-2016/Genoa-Stats,Genoa,30,26.7,50.2,38,418,"3,420",38.0,44,35,79,40,4,4,91,0,1.16,0.92,2.08,1.05,1.97,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
0e72edf2,/en/squads/0e72edf2/2015-2016/Hellas-Verona-Stats,Hellas Verona,32,27.5,45.3,38,418,"3,420",38.0,34,23,57,28,6,7,97,0,0.89,0.61,1.50,0.74,1.34,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
d609edc0,/en/squads/d609edc0/2015-2016/Internazionale-Stats,Inter,28,26.7,55.0,38,418,"3,420",38.0,49,35,84,47,2,3,104,0,1.29,0.92,2.21,1.24,2.16,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
e0652b02,/en/squads/e0652b02/2015-2016/Juventus-Stats,Juventus,28,28.3,56.0,38,418,"3,420",38.0,72,54,126,63,9,9,97,0,1.89,1.42,3.32,1.66,3.08,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
7213da33,/en/squads/7213da33/2015-2016/Lazio-Stats,Lazio,27,27.6,54.4,38,418,"3,420",38.0,52,31,83,43,9,11,107,0,1.37,0.82,2.18,1.13,1.95,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
dc56fe14,/en/squads/dc56fe14/2015-2016/Milan-Stats,Milan,30,26.4,52.9,38,418,"3,420",38.0,49,28,77,43,6,7,96,0,1.29,0.74,2.03,1.13,1.87,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
d48ad4ff,/en/squads/d48ad4ff/2015-2016/Napoli-Stats,Napoli,22,26.5,62.6,38,418,"3,420",38.0,78,56,134,71,7,8,72,0,2.05,1.47,3.53,1.87,3.34,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
ee058a17,/en/squads/ee058a17/2015-2016/Palermo-Stats,Palermo,31,26.8,43.2,38,418,"3,420",38.0,37,31,68,36,1,1,103,0,0.97,0.82,1.79,0.95,1.76,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
cf74a709,/en/squads/cf74a709/2015-2016/Roma-Stats,Roma,32,26.2,57.7,38,418,"3,420",38.0,83,55,138,79,4,4,87,0,2.18,1.45,3.63,2.08,3.53,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
8ff9e3b3,/en/squads/8ff9e3b3/2015-2016/Sampdoria-Stats,Sampdoria,35,27.5,49.4,38,418,"3,420",38.0,45,30,75,42,3,3,111,0,1.18,0.79,1.97,1.11,1.89,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
e2befd26,/en/squads/e2befd26/2015-2016/Sassuolo-Stats,Sassuolo,26,27.0,51.1,38,418,"3,420",38.0,48,33,81,44,4,5,98,0,1.26,0.87,2.13,1.16,2.03,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
105360fe,/en/squads/105360fe/2015-2016/Torino-Stats,Torino,27,27.6,47.5,38,418,"3,420",38.0,49,29,78,40,9,11,99,0,1.29,0.76,2.05,1.05,1.82,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
04eea015,/en/squads/04eea015/2015-2016/Udinese-Stats,Udinese,28,27.6,44.4,38,418,"3,420",38.0,34,23,57,32,2,2,105,0,0.89,0.61,1.50,0.84,1.45,11,2015-2016,f33382c6-e229-42a4-9085-0e8e41842b2b
