team_id,team_url,team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,competition_id,season_id,id
922493f3,/en/squads/922493f3/2024-2025/Atalanta-Stats,Atalanta,32,38.0,571,347,238,260,73,272,506,53.8,234,360,98,262,296,867,679,16,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/1d8099f8/Bologna-Stats,Bologna,30,38.0,591,346,215,270,106,283,538,52.6,255,390,93,297,258,849,679,20,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/c4260e09/Cagliari-Stats,Cagliari,28,38.0,538,303,264,224,50,238,449,53.0,211,343,131,212,276,814,887,18,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/28c9c3cd/Como-Stats,Como,38,38.0,663,412,301,260,102,303,591,51.3,288,348,91,257,279,942,788,19,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/a3d88bd8/Empoli-Stats,Empoli,34,38.0,689,396,314,293,82,309,543,56.9,234,396,136,260,323,1012,1072,21,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/421387cf/Fiorentina-Stats,Fiorentina,34,38.0,531,311,267,195,69,248,488,50.8,240,353,123,230,269,800,911,17,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/658bf2de/Genoa-Stats,Genoa,37,38.0,672,385,281,287,104,283,566,50.0,283,422,126,296,308,980,938,15,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/0e72edf2/Hellas-Verona-Stats,Hellas Verona,32,38.0,672,434,326,271,75,311,592,52.5,281,393,123,270,329,1001,987,23,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
d609edc0,/en/squads/d609edc0/2024-2025/Internazionale-Stats,Inter,26,38.0,505,278,215,198,92,239,452,52.9,213,356,126,230,223,728,676,11,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
e0652b02,/en/squads/e0652b02/2024-2025/Juventus-Stats,Juventus,29,38.0,606,353,273,245,88,263,471,55.8,208,404,139,265,215,821,723,27,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/7213da33/Lazio-Stats,Lazio,27,38.0,520,319,234,224,62,251,501,50.1,250,313,90,223,295,815,718,23,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/ffcbe334/Lecce-Stats,Lecce,31,38.0,627,372,315,250,62,301,584,51.5,283,407,144,263,285,912,1042,26,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/dc56fe14/Milan-Stats,Milan,35,38.0,552,349,249,222,81,246,480,51.3,234,292,95,197,234,786,691,21,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/21680aa4/Monza-Stats,Monza,36,38.0,562,315,304,202,56,272,501,54.3,229,382,157,225,305,867,874,38,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
d48ad4ff,/en/squads/d48ad4ff/2024-2025/Napoli-Stats,Napoli,27,38.0,535,323,237,238,60,258,469,55.0,211,317,100,217,270,805,813,11,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/eab4234c/Parma-Stats,Parma,32,38.0,523,293,267,201,55,242,484,50.0,242,434,153,281,279,802,977,21,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/cf74a709/Roma-Stats,Roma,28,38.0,551,328,233,236,82,224,439,51.0,215,329,110,219,282,833,746,16,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/105360fe/Torino-Stats,Torino,31,38.0,468,261,217,181,70,232,437,53.1,205,338,133,205,278,746,882,21,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/04eea015/Udinese-Stats,Udinese,31,38.0,562,346,276,217,69,279,508,54.9,229,396,139,257,302,864,909,27,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
squads,/en/squads/af5d5982/Venezia-Stats,Venezia,36,38.0,605,361,319,202,84,286,572,50.0,286,439,145,294,279,884,921,25,11,2024-2025,661124b8-c842-42b5-a520-56ef709be3d5
