team_id,team_url,team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2022-2023/Augsburg-Stats,Augsburg,34,34.0,578,17.00,383,76,26,42,37,14,70,2.06,42,6,3,10,5,4,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
054efa67,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats,Bayern Munich,28,34.0,1094,32.18,841,63,68,78,24,20,153,4.50,114,2,12,16,5,4,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
b42c6323,/en/squads/b42c6323/2022-2023/Bochum-Stats,Bochum,26,34.0,678,19.94,464,92,22,41,46,13,67,1.97,44,10,4,4,5,0,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
add600ae,/en/squads/add600ae/2022-2023/Dortmund-Stats,Dortmund,30,34.0,1014,29.82,735,74,80,72,41,12,144,4.24,102,5,16,10,8,3,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
f0ac8ee6,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats,Eint Frankfurt,28,34.0,711,20.91,507,62,50,47,35,10,95,2.79,64,2,10,11,8,0,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
a486e511,/en/squads/a486e511/2022-2023/Freiburg-Stats,Freiburg,27,34.0,724,21.29,499,87,31,51,45,11,87,2.56,57,11,3,7,9,0,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
32f3ee20,/en/squads/32f3ee20/2022-2023/Monchengladbach-Stats,Gladbach,27,34.0,725,21.32,509,89,32,43,40,12,81,2.38,60,7,4,7,3,0,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
2818f8bc,/en/squads/2818f8bc/2022-2023/Hertha-BSC-Stats,Hertha BSC,32,34.0,652,19.18,436,65,56,38,42,15,70,2.06,49,4,5,3,9,0,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
033ea6b8,/en/squads/033ea6b8/2022-2023/Hoffenheim-Stats,Hoffenheim,31,34.0,719,21.15,513,65,46,36,47,12,83,2.44,57,3,9,7,6,1,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
bc357bf7,/en/squads/bc357bf7/2022-2023/Koln-Stats,Köln,27,34.0,705,20.74,505,78,37,50,27,8,78,2.29,57,4,5,7,5,0,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
c7a9f859,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats,Leverkusen,27,34.0,792,23.29,576,59,57,47,42,11,105,3.09,72,3,15,4,8,3,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
a224b06a,/en/squads/a224b06a/2022-2023/Mainz-05-Stats,Mainz 05,27,34.0,696,20.47,483,77,32,54,38,12,84,2.47,51,9,3,13,6,2,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
acbb6a5b,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats,RB Leipzig,25,34.0,874,25.71,629,70,55,63,46,11,108,3.18,76,5,6,10,9,2,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
c539e393,/en/squads/c539e393/2022-2023/Schalke-04-Stats,Schalke 04,35,34.0,715,21.03,487,92,26,51,48,11,56,1.65,38,6,2,2,7,1,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
598bc722,/en/squads/598bc722/2022-2023/Stuttgart-Stats,Stuttgart,30,34.0,810,23.82,561,85,52,54,46,12,83,2.44,64,3,5,4,5,2,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
7a41008f,/en/squads/7a41008f/2022-2023/Union-Berlin-Stats,Union Berlin,28,34.0,650,19.12,469,67,29,32,43,10,86,2.53,56,11,3,5,9,2,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
62add3bf,/en/squads/62add3bf/2022-2023/Werder-Bremen-Stats,Werder Bremen,25,34.0,649,19.09,502,46,30,25,41,5,90,2.65,71,6,3,4,6,0,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
4eaa11d7,/en/squads/4eaa11d7/2022-2023/Wolfsburg-Stats,Wolfsburg,28,34.0,713,20.97,510,63,40,46,47,7,102,3.00,75,7,6,5,9,0,20,2022-2023,d194ca95-8d2d-44e9-868d-56ef36ab6aa8
