team_id,team_url,team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2023-2024/Augsburg-Stats,Augsburg,29,34.0,528,319,234,222,72,237,492,48.2,255,439,133,306,295,823,727,9,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
054efa67,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats,Bayern Munich,30,34.0,520,323,227,191,102,245,510,48.0,265,378,81,297,288,808,473,18,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
b42c6323,/en/squads/b42c6323/2023-2024/Bochum-Stats,Bochum,25,34.0,603,366,272,253,78,294,574,51.2,280,460,142,318,308,911,768,9,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
6a6967fc,/en/squads/6a6967fc/2023-2024/Darmstadt-98-Stats,Darmstadt 98,32,34.0,560,323,303,197,60,285,583,48.9,298,400,137,263,317,877,707,19,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
add600ae,/en/squads/add600ae/2023-2024/Dortmund-Stats,Dortmund,32,34.0,548,356,297,201,50,292,557,52.4,265,431,121,310,251,799,628,12,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
f0ac8ee6,/en/squads/f0ac8ee6/2023-2024/Eintracht-Frankfurt-Stats,Eint Frankfurt,34,34.0,602,359,282,240,80,293,548,53.5,255,424,99,325,302,904,704,12,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
a486e511,/en/squads/a486e511/2023-2024/Freiburg-Stats,Freiburg,25,34.0,546,319,303,175,68,227,463,49.0,236,436,149,287,272,818,725,7,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
32f3ee20,/en/squads/32f3ee20/2023-2024/Monchengladbach-Stats,Gladbach,27,34.0,582,337,291,247,44,287,534,53.7,247,465,168,297,333,915,860,15,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
18d9d2a7,/en/squads/18d9d2a7/2023-2024/Heidenheim-Stats,Heidenheim,22,34.0,601,352,311,225,65,275,591,46.5,316,463,129,334,302,903,783,5,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
033ea6b8,/en/squads/033ea6b8/2023-2024/Hoffenheim-Stats,Hoffenheim,30,34.0,517,304,286,185,46,259,541,47.9,282,413,143,270,357,874,790,12,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
bc357bf7,/en/squads/bc357bf7/2023-2024/Koln-Stats,Köln,26,34.0,617,375,330,234,53,342,659,51.9,317,506,154,352,305,922,766,9,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
c7a9f859,/en/squads/c7a9f859/2023-2024/Bayer-Leverkusen-Stats,Leverkusen,24,34.0,458,277,183,187,88,197,403,48.9,206,330,72,258,224,682,460,9,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
a224b06a,/en/squads/a224b06a/2023-2024/Mainz-05-Stats,Mainz 05,30,34.0,572,328,256,253,63,276,526,52.5,250,442,117,325,346,918,704,3,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
acbb6a5b,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats,RB Leipzig,26,34.0,538,317,236,240,62,244,487,50.1,243,444,97,347,240,778,630,12,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
598bc722,/en/squads/598bc722/2023-2024/Stuttgart-Stats,Stuttgart,27,34.0,537,316,222,239,76,253,513,49.3,260,378,109,269,269,806,619,12,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
7a41008f,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats,Union Berlin,30,34.0,549,352,242,240,67,254,504,50.4,250,480,137,343,305,854,861,9,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
62add3bf,/en/squads/62add3bf/2023-2024/Werder-Bremen-Stats,Werder Bremen,30,34.0,604,351,303,239,62,312,609,51.2,297,434,153,281,284,888,785,9,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
4eaa11d7,/en/squads/4eaa11d7/2023-2024/Wolfsburg-Stats,Wolfsburg,28,34.0,550,303,272,201,77,262,527,49.7,265,414,99,315,268,818,801,8,20,2023-2024,bdcdf755-b5d3-4a36-ad98-1f7be5d7929c
