team_id,team_url,team,players_used_away,minutes_90s_away,gk_goals_against_away,gk_pens_allowed_away,gk_free_kick_goals_against_away,gk_corner_kick_goals_against_away,gk_own_goals_against_away,gk_psxg_away,gk_psnpxg_per_shot_on_target_against_away,gk_psxg_net_away,gk_psxg_net_per90_away,gk_passes_completed_launched_away,gk_passes_launched_away,gk_passes_pct_launched_away,gk_passes_away,gk_passes_throws_away,gk_pct_passes_launched_away,gk_passes_length_avg_away,gk_goal_kicks_away,gk_pct_goal_kicks_launched_away,gk_goal_kick_length_avg_away,gk_crosses_away,gk_crosses_stopped_away,gk_crosses_stopped_pct_away,gk_def_actions_outside_pen_area_away,gk_def_actions_outside_pen_area_per90_away,gk_avg_distance_def_actions_away,competition_id,season_id,id
247c4b67,/en/squads/247c4b67/2021-2022/Arminia-Stats,vs Arminia,2,34.0,27,2,0,1,1,27.9,0.25,+1.9,+0.06,194,473,41.0,1158,186,31.1,32.1,246,45.9,39.1,378,27,7.1,42,1.24,16.0,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
0cdc4311,/en/squads/0cdc4311/2021-2022/Augsburg-Stats,vs Augsburg,1,34.0,39,5,0,7,0,36.4,0.26,-2.6,-0.08,188,496,37.9,1178,158,31.6,32.6,266,46.6,39.9,468,26,5.6,67,1.97,17.7,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
054efa67,/en/squads/054efa67/2021-2022/Bayern-Munich-Stats,vs Bayern Munich,3,34.0,97,5,1,11,5,88.1,0.33,-3.9,-0.12,227,567,40.0,995,182,40.3,36.2,355,46.8,40.2,522,16,3.1,45,1.32,14.9,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
b42c6323,/en/squads/b42c6323/2021-2022/Bochum-Stats,vs Bochum,2,34.0,38,4,1,3,1,39.1,0.25,+2.1,+0.06,197,557,35.4,1186,179,37.0,33.7,261,45.2,37.8,449,30,6.7,65,1.91,19.1,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
add600ae,/en/squads/add600ae/2021-2022/Dortmund-Stats,vs Dortmund,3,34.0,85,11,1,7,4,65.7,0.33,-15.3,-0.45,194,556,34.9,1105,172,39.1,35.6,253,49.0,40.8,400,14,3.5,51,1.50,17.2,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
f0ac8ee6,/en/squads/f0ac8ee6/2021-2022/Eintracht-Frankfurt-Stats,vs Eint Frankfurt,3,34.0,45,1,1,10,2,37.9,0.27,-5.1,-0.15,220,580,37.9,1210,122,38.0,34.2,288,41.7,37.2,525,23,4.4,66,1.94,19.7,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
a486e511,/en/squads/a486e511/2021-2022/Freiburg-Stats,vs Freiburg,2,34.0,58,5,2,9,3,51.9,0.30,-3.1,-0.09,195,484,40.3,1118,147,32.8,32.3,275,42.5,38.9,510,18,3.5,50,1.47,15.9,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
32f3ee20,/en/squads/32f3ee20/2021-2022/Monchengladbach-Stats,vs Gladbach,2,34.0,54,5,0,5,0,55.7,0.28,+1.7,+0.05,153,437,35.0,1027,158,33.0,32.7,219,44.7,38.9,341,19,5.6,51,1.50,17.8,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
12192a4c,/en/squads/12192a4c/2021-2022/Greuther-Furth-Stats,vs Greuther Fürth,3,34.0,28,5,1,3,2,31.6,0.26,+5.6,+0.16,169,386,43.8,990,151,30.7,32.6,214,38.3,36.8,381,25,6.6,59,1.74,17.8,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
2818f8bc,/en/squads/2818f8bc/2021-2022/Hertha-BSC-Stats,vs Hertha BSC,2,34.0,37,3,1,3,2,32.6,0.25,-2.4,-0.07,169,413,40.9,1065,150,30.8,31.1,234,36.3,36.1,411,21,5.1,54,1.59,17.0,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
033ea6b8,/en/squads/033ea6b8/2021-2022/Hoffenheim-Stats,vs Hoffenheim,2,34.0,58,0,0,7,3,53.1,0.36,-1.9,-0.06,215,525,41.0,1200,155,33.8,33.6,284,42.3,37.5,545,30,5.5,38,1.12,14.6,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
bc357bf7,/en/squads/bc357bf7/2021-2022/Koln-Stats,vs Köln,2,34.0,52,1,0,6,0,46.5,0.30,-5.5,-0.16,257,680,37.8,1090,158,47.3,37.9,327,50.2,41.5,655,30,4.6,48,1.41,14.7,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
c7a9f859,/en/squads/c7a9f859/2021-2022/Bayer-Leverkusen-Stats,vs Leverkusen,3,34.0,80,2,1,6,4,65.4,0.33,-10.6,-0.31,189,440,43.0,909,140,34.7,32.9,246,50.8,42.2,435,22,5.1,42,1.24,15.1,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
a224b06a,/en/squads/a224b06a/2021-2022/Mainz-05-Stats,vs Mainz 05,2,34.0,50,4,1,8,1,46.6,0.28,-2.4,-0.07,183,552,33.2,1125,162,37.2,35.2,270,49.6,41.3,474,25,5.3,55,1.62,17.1,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
acbb6a5b,/en/squads/acbb6a5b/2021-2022/RB-Leipzig-Stats,vs RB Leipzig,3,34.0,72,8,3,4,0,62.8,0.32,-9.2,-0.27,183,448,40.8,1094,167,32.1,31.6,242,40.1,38.5,419,22,5.3,68,2.00,17.9,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
598bc722,/en/squads/598bc722/2021-2022/Stuttgart-Stats,vs Stuttgart,2,34.0,41,1,1,6,1,44.3,0.28,+4.3,+0.13,235,606,38.8,1227,153,36.8,34.0,257,59.9,45.9,437,20,4.6,53,1.56,18.8,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
7a41008f,/en/squads/7a41008f/2021-2022/Union-Berlin-Stats,vs Union Berlin,2,34.0,50,5,0,5,0,48.2,0.29,-1.8,-0.05,215,544,39.5,1139,157,34.6,33.1,264,56.8,44.0,525,23,4.4,51,1.50,17.3,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
4eaa11d7,/en/squads/4eaa11d7/2021-2022/Wolfsburg-Stats,vs Wolfsburg,2,34.0,43,3,2,4,1,43.4,0.28,+1.4,+0.04,175,520,33.7,1093,124,36.8,34.2,247,47.8,40.2,482,18,3.7,48,1.41,17.2,20,2021-2022,4d5f6c81-a7bc-4928-93ef-26d08af82869
